0.1,0.001
0.101,0.001
0.102,0
0.103,0
0.104,0
0.105,0.001
0.106,0
0.107,0
0.108,0
0.109,0
0.11,0
0.111,0
0.112,0.003
0.113,0.001
0.114,0
0.115,0.001
0.116,0
0.117,0
0.118,0
0.119,0
0.12,0
0.121,0
0.122,0
0.123,0
0.124,0.002
0.125,0.001
0.126,0
0.127,0.001
0.128,0.001
0.129,0
0.13,0.001
0.131,0.001
0.132,0
0.133,0
0.134,0
0.135,0
0.136,0.001
0.137,0
0.138,0
0.139,0
0.14,0.001
0.141,0.001
0.142,0
0.143,0.001
0.144,0
0.145,0.003
0.146,0.001
0.147,0
0.148,0
0.149,0.001
0.15,0.002
0.151,0.001
0.152,0.001
0.153,0.001
0.154,0
0.155,0.001
0.156,0
0.157,0.001
0.158,0.001
0.159,0.001
0.16,0.002
0.161,0
0.162,0
0.163,0.001
0.164,0
0.165,0.002
0.166,0.001
0.167,0.001
0.168,0.001
0.169,0.001
0.17,0.002
0.171,0
0.172,0
0.173,0
0.174,0
0.175,0.001
0.176,0.003
0.177,0.001
0.178,0.001
0.179,0.001
0.18,0
0.181,0
0.182,0
0.183,0.001
0.184,0
0.185,0.001
0.186,0.002
0.187,0.002
0.188,0.001
0.189,0.001
0.19,0.001
0.191,0
0.192,0
0.193,0
0.194,0.001
0.195,0
0.196,0.002
0.197,0
0.198,0.003
0.199,0.002
0.2,0.001
0.201,0.001
0.202,0
0.203,0.002
0.204,0
0.205,0.001
0.206,0
0.207,0
0.208,0
0.209,0.004
0.21,0
0.211,0.002
0.212,0.001
0.213,0.002
0.214,0
0.215,0
0.216,0
0.217,0.001
0.218,0
0.219,0.001
0.22,0
0.221,0
0.222,0
0.223,0.002
0.224,0
0.225,0
0.226,0
0.227,0
0.228,0.001
0.229,0.001
0.23,0
0.231,0.001
0.232,0
0.233,0
0.234,0.001
0.235,0
0.236,0.001
0.237,0.001
0.238,0.002
0.239,0
0.24,0.002
0.241,0
0.242,0
0.243,0.001
0.244,0
0.245,0.001
0.246,0.001
0.247,0
0.248,0.001
0.249,0
0.25,0.001
0.251,0.002
0.252,0.002
0.253,0.002
0.254,0.001
0.255,0
0.256,0.002
0.257,0.001
0.258,0.002
0.259,0.003
0.26,0.002
0.261,0.003
0.262,0.003
0.263,0.002
0.264,0
0.265,0.001
0.266,0.001
0.267,0
0.268,0
0.269,0
0.27,0.001
0.271,0
0.272,0.001
0.273,0
0.274,0.001
0.275,0
0.276,0
0.277,0.001
0.278,0
0.279,0.003
0.28,0.001
0.281,0
0.282,0
0.283,0.003
0.284,0
0.285,0.004
0.286,0.002
0.287,0.001
0.288,0.001
0.289,0.003
0.29,0.003
0.291,0.002
0.292,0.001
0.293,0.003
0.294,0
0.295,0.001
0.296,0.002
0.297,0.004
0.298,0.002
0.299,0.002
0.3,0.002
0.301,0.001
0.302,0.003
0.303,0.001
0.304,0.001
0.305,0.001
0.306,0.006
0.307,0.002
0.308,0.001
0.309,0.001
0.31,0.001
0.311,0.001
0.312,0
0.313,0.001
0.314,0.002
0.315,0.001
0.316,0.004
0.317,0.001
0.318,0.003
0.319,0.001
0.32,0
0.321,0.003
0.322,0.001
0.323,0.002
0.324,0.003
0.325,0
0.326,0.002
0.327,0.003
0.328,0.002
0.329,0.001
0.33,0.002
0.331,0.002
0.332,0.001
0.333,0
0.334,0.001
0.335,0.001
0.336,0.001
0.337,0
0.338,0
0.339,0
0.34,0.001
0.341,0
0.342,0.001
0.343,0
0.344,0
0.345,0.002
0.346,0
0.347,0.003
0.348,0.002
0.349,0
0.35,0.001
0.351,0
0.352,0.003
0.353,0
0.354,0.001
0.355,0.001
0.356,0.001
0.357,0.005
0.358,0.001
0.359,0.001
0.36,0.002
0.361,0.001
0.362,0.002
0.363,0
0.364,0.004
0.365,0.002
0.366,0.002
0.367,0.002
0.368,0
0.369,0.001
0.37,0.002
0.371,0.002
0.372,0.004
0.373,0.006
0.374,0.001
0.375,0.001
0.376,0.002
0.377,0.003
0.378,0.003
0.379,0.004
0.38,0.003
0.381,0.002
0.382,0
0.383,0.004
0.384,0
0.385,0.002
0.386,0
0.387,0.007
0.388,0.001
0.389,0
0.39,0.003
0.391,0.002
0.392,0.005
0.393,0.002
0.394,0.003
0.395,0.004
0.396,0.002
0.397,0.003
0.398,0.002
0.399,0.003
0.4,0.007
0.401,0.002
0.402,0.006
0.403,0.002
0.404,0.002
0.405,0.001
0.406,0.003
0.407,0.002
0.408,0.006
0.409,0.003
0.41,0.004
0.411,0.002
0.412,0.005
0.413,0.005
0.414,0.004
0.415,0.002
0.416,0.007
0.417,0.004
0.418,0.001
0.419,0.005
0.42,0.006
0.421,0.001
0.422,0.003
0.423,0.006
0.424,0.001
0.425,0.001
0.426,0.004
0.427,0.001
0.428,0.004
0.429,0.002
0.43,0.002
0.431,0.003
0.432,0.002
0.433,0.006
